id,name,date,status,link
27342,A Year of Marvels: April Infinite Comic,2016,Completed,https://www.marvel.com/comics/series/27342/a_year_of_marvels_april_infinite_comic_2016
21114,A Year of Marvels: August Infinite Comic,2016,Completed,https://www.marvel.com/comics/series/21114/a_year_of_marvels_august_infinite_comic_2016
25677,A Year of Marvels: February Infinite Comic,2016,Completed,https://www.marvel.com/comics/series/25677/a_year_of_marvels_february_infinite_comic_2016
21113,A Year of Marvels: July Infinite Comic,2016,Completed,https://www.marvel.com/comics/series/21113/a_year_of_marvels_july_infinite_comic_2016
21112,A Year of Marvels: June Infinite Comic,2016,Completed,https://www.marvel.com/comics/series/21112/a_year_of_marvels_june_infinite_comic_2016
21109,A Year of Marvels: March Infinite Comic,2016,Completed,https://www.marvel.com/comics/series/21109/a_year_of_marvels_march_infinite_comic_2016
21111,A Year of Marvels: May Infinite Comic,2016,Completed,https://www.marvel.com/comics/series/21111/a_year_of_marvels_may_infinite_comic_2016
21117,A YEAR OF MARVELS: NOVEMBER INFINITE COMIC 1,2016,Completed,https://www.marvel.com/comics/series/21117/a_year_of_marvels_november_infinite_comic_1_2016
21116,A YEAR OF MARVELS: OCTOBER INFINITE COMIC 1,2016,Completed,https://www.marvel.com/comics/series/21116/a_year_of_marvels_october_infinite_comic_1_2016
21115,A Year of Marvels: September Infinite Comic,2016,Completed,https://www.marvel.com/comics/series/21115/a_year_of_marvels_september_infinite_comic_2016
31148,A Year of Marvels: The Amazing,2016,Completed,https://www.marvel.com/comics/series/31148/a_year_of_marvels_the_amazing_2016
31147,A Year of Marvels: The Incredible,2016,Completed,https://www.marvel.com/comics/series/31147/a_year_of_marvels_the_incredible_2016
21404,A Year of Marvels: The Uncanny,2016,Completed,https://www.marvel.com/comics/series/21404/a_year_of_marvels_the_uncanny_2016
16450,A+X,2012 - 2014,Completed,https://www.marvel.com/comics/series/16450/ax_2012_2014
17233,A-Babies Vs. X-Babies,2012,Completed,https://www.marvel.com/comics/series/17233/ababies_vs_xbabies_2012
19245,A-Force,2015,Completed,https://www.marvel.com/comics/series/19245/aforce_2015
20606,A-Force,2016,Completed,https://www.marvel.com/comics/series/20606/aforce_2016
3620,A-Next,1998 - 1999,Completed,https://www.marvel.com/comics/series/3620/anext_1998_1999
35453,A.X.E.: Avengers,2022,Completed,https://www.marvel.com/comics/series/35453/axe_avengers_2022
35455,A.X.E.: Death to the Mutants,2022,Completed,https://www.marvel.com/comics/series/35455/axe_death_to_the_mutants_2022
35454,A.X.E.: Eternals,2022,Completed,https://www.marvel.com/comics/series/35454/axe_eternals_2022
35456,A.X.E.: Eve Of Judgment,2022,Completed,https://www.marvel.com/comics/series/35456/axe_eve_of_judgment_2022
36247,A.X.E.: Iron Fist,2022,Completed,https://www.marvel.com/comics/series/36247/axe_iron_fist_2022
34459,A.X.E.: Judgment Day,2022,Completed,https://www.marvel.com/comics/series/34459/axe_judgment_day_2022
36268,A.X.E.: Judgment Day Omega,2022,Completed,https://www.marvel.com/comics/series/36268/axe_judgment_day_omega_2022
35457,A.X.E.: Starfox,2022,Completed,https://www.marvel.com/comics/series/35457/axe_starfox_2022
35458,A.X.E.: X-Men,2022,Completed,https://www.marvel.com/comics/series/35458/axe_xmen_2022
30582,Abominations,1996 - Present,Ongoing,https://www.marvel.com/comics/series/30582/abominations_1996_present
27272,Absolute Carnage,2019,Completed,https://www.marvel.com/comics/series/27272/absolute_carnage_2019
27979,Absolute Carnage Director's Cut Edition,2019,Completed,https://www.marvel.com/comics/series/27979/absolute_carnage_directors_cut_edition_2019
27720,Absolute Carnage Vs. Deadpool,2019,Completed,https://www.marvel.com/comics/series/27720/absolute_carnage_vs_deadpool_2019
27631,Absolute Carnage: Avengers,2019,Completed,https://www.marvel.com/comics/series/27631/absolute_carnage_avengers_2019
27665,Absolute Carnage: Captain Marvel,2019,Completed,https://www.marvel.com/comics/series/27665/absolute_carnage_captain_marvel_2019
27632,Absolute Carnage: Immortal Hulk,2019,Completed,https://www.marvel.com/comics/series/27632/absolute_carnage_immortal_hulk_2019
27633,Absolute Carnage: Lethal Protectors,2019,Completed,https://www.marvel.com/comics/series/27633/absolute_carnage_lethal_protectors_2019
27634,Absolute Carnage: Miles Morales,2019,Completed,https://www.marvel.com/comics/series/27634/absolute_carnage_miles_morales_2019
27635,Absolute Carnage: Scream,2019,Completed,https://www.marvel.com/comics/series/27635/absolute_carnage_scream_2019
27636,Absolute Carnage: Separation Anxiety,2019,Completed,https://www.marvel.com/comics/series/27636/absolute_carnage_separation_anxiety_2019
27730,Absolute Carnage: Symbiote Of Vengeance,2019,Completed,https://www.marvel.com/comics/series/27730/absolute_carnage_symbiote_of_vengeance_2019
27637,Absolute Carnage: Symbiote Spider-Man,2019,Completed,https://www.marvel.com/comics/series/27637/absolute_carnage_symbiote_spiderman_2019
29150,Absolute Carnage: Weapon Plus,2019,Completed,https://www.marvel.com/comics/series/29150/absolute_carnage_weapon_plus_2019
36621,Adam Warlock: Strange Tales Facsimile Edition,2023,Completed,https://www.marvel.com/comics/series/36621/adam_warlock_strange_tales_facsimile_edition_2023
6079,Adam: Legend of the Blue Marvel,2008,Completed,https://www.marvel.com/comics/series/6079/adam_legend_of_the_blue_marvel_2008
2113,Adventure Into Fear,1970 - 1975,Completed,https://www.marvel.com/comics/series/2113/adventure_into_fear_1970_1975
24227,Adventures of Captain America,1991 - 1992,Completed,https://www.marvel.com/comics/series/24227/adventures_of_captain_america_1991_1992
19095,Adventures of Cyclops & Phoenix,1994,Completed,https://www.marvel.com/comics/series/19095/adventures_of_cyclops_and_phoenix_1994
27587,Adventures of Spider-Man,1996 - 1997,Completed,https://www.marvel.com/comics/series/27587/adventures_of_spiderman_1996_1997
27588,Adventures of the X-Men,1996 - 1997,Completed,https://www.marvel.com/comics/series/27588/adventures_of_the_xmen_1996_1997
37550,Adventures on the Planet of the Apes,1975 - 1976,Completed,https://www.marvel.com/comics/series/37550/adventures_on_the_planet_of_the_apes_1975_1976
27392,Aero,2019 - 2020,Completed,https://www.marvel.com/comics/series/27392/aero_2019_2020
15331,Age of Apocalypse,2012 - 2013,Completed,https://www.marvel.com/comics/series/15331/age_of_apocalypse_2012_2013
19246,Age of Apocalypse,2015,Completed,https://www.marvel.com/comics/series/19246/age_of_apocalypse_2015
3614,Age of Apocalypse: The Chosen,1995,Completed,https://www.marvel.com/comics/series/3614/age_of_apocalypse_the_chosen_1995
